date,Open,High,Low,Close,Volume,avg_sentiment,max_sentiment,min_sentiment,sentiment_std,news_count,pos_ratio,neg_ratio,neu_ratio,rsi,macd,macd_signal,bb_high,bb_low,bb_width,ema_20,atr,volume_ma7,volume_ratio,sentiment_lag1,sentiment_lag2,sentiment_lag3,sentiment_roll3,sentiment_roll7,price_change_1d,price_change_3d,price_change_5d,high_low_ratio,target,ticker
2025-04-30,208.39173986928208,212.65316547487808,205.7731479657814,211.57785034179688,52286500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.045254115031554,-0.9821819947262327,,221.8257530159206,176.6047233634739,22.699583658046386,204.99608752025676,8.834900495529393,45613728.571428575,1.1462886643463543,0.0,0.0,0.0,0.0,0.0,0.006107623740076784,0.015386073198194294,0.03861187302717739,1.033434962613493,1,AAPL
2025-05-01,208.1726964341785,213.62891164873253,207.9934696463897,212.3943023681641,57365700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72147222291639,-0.3203905738546382,,219.4855972756676,177.89246668917616,20.933782892540947,205.70067941053364,8.606367746016065,46240771.428571425,1.240587002070529,0.0,0.0,0.0,0.0,0.0,0.003858872869008989,0.01513276025266408,0.023755859698067594,1.027094321816563,0,AAPL
2025-05-02,205.19567188008236,206.0917754590827,201.2827333487594,204.4588928222656,101010600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14170189976822,-0.43126597057840854,,219.68889313503723,177.90423583224793,21.018802518706217,205.58241402117477,8.785310694115253,53109542.85714286,1.901929381537028,0.0,0.0,0.0,0.0,0.0,-0.03736168747193258,-0.027744868011358892,-0.018778610436431253,1.0238919753836548,0,AAPL
2025-05-05,202.2186538992821,203.21431440062256,197.34987465543003,198.02691650390625,69018500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.03211352305793,-1.0263115749396263,,219.57495918357156,179.0646083823464,20.324299992888434,204.86284282905396,8.665575513595275,56210614.28571428,1.2278552881344476,0.0,0.0,0.0,0.0,0.0,-0.0314585305122953,-0.06404703429966585,-0.053535767609810825,1.0297159537366403,0,AAPL
2025-05-06,197.3498583398735,199.77925700053615,196.165020010421,197.64854431152344,51216500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7447006514062,-1.5110030743308016,,218.5643737451505,181.77279208736903,18.38029780785988,204.17576677976533,8.304765619060982,58066928.571428575,0.8820252983933564,0.0,0.0,0.0,0.0,0.0,-0.0019107109228524433,-0.06942633532174691,-0.06012984378228903,1.0184244723647629,0,AAPL
2025-05-07,198.3057033514284,198.574535944944,192.41139491378885,195.39837646484372,68536700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.99128276397748,-2.053028287271758,,214.5803829172131,188.12944221706428,13.136476464823845,203.3398248450109,8.151792434210565,62323157.14285714,1.0996987819936686,0.0,0.0,0.0,0.0,0.0,-0.011384692229926663,-0.04431461127640024,-0.07647054666079534,1.0320310604988678,1,AAPL
2025-05-08,196.862008540768,199.1818994852005,193.8351919089676,196.6330108642578,50478900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38773549740172,-2.3558062280868057,,214.5945583102674,187.97985880399042,13.222250781386954,202.70108065636776,7.951429230069302,64273342.85714286,0.7853784750576445,0.0,0.0,0.0,0.0,0.0,0.006318549937574414,-0.007038970581663029,-0.07420769450107789,1.0275837814773279,1,AAPL
2025-05-09,198.1364339272832,199.6697443694255,196.6827629534363,197.66847229003903,36453900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.593383011687045,-2.4835777064056686,,214.0078000605791,189.37409691207716,12.213588826556462,202.22178462147932,7.600379535433473,62011542.85714286,0.58785668474625,0.0,0.0,0.0,0.0,0.0,0.005265959267114262,0.00010082532398603128,-0.03321166635744921,1.01518679812677,1,AAPL
2025-05-12,210.32994399020487,210.62903686932515,206.12274573806783,210.1504821777344,63775800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64364612671114,-1.5596647971651691,-1.6129521202355006,215.00244021459045,189.6654934401947,12.522339759201303,202.976898674456,7.983249895708662,62927271.428571425,1.0134842740224599,0.0,0.0,0.0,0.0,0.0,0.0631461848371071,0.07549758590519762,0.06122180705464353,1.0218621730227857,1,AAPL
2025-05-13,209.7915962682986,212.7525871854542,208.3659418628149,212.2840118408203,51909300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.32194737389622,-0.6478313504523783,-1.4199279662788762,216.24752185243963,189.48469708066582,13.192358665598746,203.86329040458594,7.726349569060849,55912800.0,0.9283974331458986,0.0,0.0,0.0,0.0,0.0,0.010152390044394277,0.07959498208246885,0.07404793989390179,1.0210526023755235,0,AAPL
